Nome,Categoria,Duracao,Imagem
Terra Nostra,Novelas,49.96,https://s2.glbimg.com/wekORvUFPY3gnNlEUuLNZqZri7o=/362x536/https://s2.glbimg.com/iQmOrbW9rgIgcskl9uUhSnDt9E8=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/T/W/x5HUlyS0uAnYdZNusiwA/2020-978-terra-nostra-poster.jpg
Lua Cheia de Amor,Novelas,45.57,https://s2.glbimg.com/w_vhuzw1z2WUwg93CGWNYeOOFaE=/362x536/https://s2.glbimg.com/qOKrZevV8YJA2UH1lRFPU_Up2Qk=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/A/5/3BDWoiT1ag1YZugPwgJQ/2022-2832-lua-cheia-de-amor-poster.jpg
Travessia,Novelas,77.09,https://br.web.img3.acsta.net/pictures/22/10/10/19/58/4326934.jpg
A Vida da Gente,Novelas,50.12,https://s2.glbimg.com/eeceKptkHCNIhDpBhpipwrrrxcs=/362x536/https://s2.glbimg.com/86rA31aYck6kamlSF6SSZbOlrsQ=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/63/b0/31719fe82284499236bbe5771e3c.jpg
Ti-Ti-Ti - Vale a Pena Ver de Novo,Novelas,61.00,https://geovannesolamini.files.wordpress.com/2021/06/2021-1636-ti-ti-ti-poster.jpg?w=362
Além da Ilusão,Novelas,30.66,https://s2.glbimg.com/Mn5IwHqd7k2vRmG-buR_ySIsyb8=/362x536/https://s2.glbimg.com/dMGoziJcnfJOCKllDVp3T4yP0Zs=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/s/0/QAdBKgRDCNq2dDuF4Dbg/2021-2661-alem-da-ilusao-poster.jpg
Cama de Gato,Novelas,47.51,https://media.fstatic.com/U__EblIbFUSkpwoKlNxXQa-isPI=/322x478/smart/filters:format(webp)/media/movies/covers/2021/11/2021-2440-cama-de-gato-poster-globoplay.jpg
Mulheres de Areia,Novelas,41.44,https://s2.glbimg.com/vhZroS2rowckn7Pz3LgoKq7_P1I=/362x536/https://s2.glbimg.com/PdYg_g8r2hU7EwNnP4FWlZxTFKg=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/1/p/ZGkStPS7yY9TpkhW8bew/2021-1544-mulheres-de-areia-poster.jpg
Quatro por Quatro,Novelas,49.86,https://s2.glbimg.com/jsUcJufpBlaA3MffA_4zzc3zsH0=/362x536/https://s2.glbimg.com/Y9LaCPqhvB9xBw4luKZwxwjk5LY=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/Q/F/zPZZjXRY6UnCWyued6Tw/2022-3179-quatro-por-quatro-poster.jpg
Caça Talentos,Novelas,28.79,https://s2.glbimg.com/aVsXYBWpdjArbxe6bhdE3XF-fNE=/362x536/https://s2.glbimg.com/QAG3MRAzEdZLO0ydFT-fB0aHDj4=/i.s3.glbimg.com/v1/AUTH_d2470d85104948f09eee09d5028bee11/internal_photos/bs/2020/I/m/1H5FAdTNWpoOwq2heKfw/11682-poster.jpg
